query,query_type,config,mrr,p@1,r@1,ndcg@1,p@3,r@3,ndcg@3,p@5,r@5,ndcg@5,p@10,r@10,ndcg@10
"Under MLR 2017 regulation 4, at what point is an e",exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What ownership or voting rights threshold must an ,exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 6, which categories of p",exact_anchor,hybrid,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.38685280723454163,0.1,1.0,0.38685280723454163
At what cash payment level does a trader become a ,exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 27, in what circumstance",exact_anchor,hybrid,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2890648263178879
What three obligations does MLR 2017 regulation 28,exact_anchor,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Under MLR 2017 regulation 30, when must verificati",exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What conditions must a relevant person assess befo,exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under MLR 2017 regulation 38, what maximum electro",exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What systemic obligation does MLR 2017 regulation ,exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What records concerning beneficial owners must the,exact_anchor,hybrid,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.2,1.0,0.5,0.1,1.0,0.5
"Under MLR 2017 regulation 29, when must a credit i",exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What information must a credit institution gather ,exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What five acts constitute the principal money laun,exact_anchor,hybrid,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.31546487678572877
How does section 328 of POCA 2002 define the arran,exact_anchor,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Under section 329 of POCA 2002, what three types o",exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What three conditions must all be satisfied for a ,exact_anchor,hybrid,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.31546487678572877
"Under section 331 of POCA 2002, who specifically c",exact_anchor,hybrid,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3562071871080222
What three elements must be present for a person t,exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
How does section 335 of POCA 2002 define 'appropri,exact_anchor,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Under section 336 of POCA 2002, what conditions mu",exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
