query,query_type,config,variant,reference_model,faithfulness,answer_relevancy,similarity,llm_grade,reasoning_effort
"Under MLR 2017 regulation 4, at what point is an estate agent considered to have entered into a business relationship with a purchaser?",exact_anchor,dense_only,baseline,14b,0.0,0.8838366914465668,0.8595696687698364,0.0,
"Under MLR 2017 regulation 4, at what point is an estate agent considered to have entered into a business relationship with a purchaser?",exact_anchor,dense_only,baseline,72b,0.0,0.8838366914465668,0.9474395513534546,0.0,
"Under MLR 2017 regulation 27, in what circumstances is a relevant person required to apply customer due diligence measures?",exact_anchor,dense_only,baseline,14b,0.5,0.8581049819771479,0.6432185173034668,0.0,
"Under MLR 2017 regulation 27, in what circumstances is a relevant person required to apply customer due diligence measures?",exact_anchor,dense_only,baseline,72b,0.5,0.8581049819771479,0.6382108926773071,0.0,
"Under MLR 2017 regulation 29, when must a credit institution or financial institution identify the beneficiary of a long-term insurance policy?",exact_anchor,dense_only,baseline,14b,1.0,0.6082990917596693,0.6045021414756775,0.0,
"Under MLR 2017 regulation 29, when must a credit institution or financial institution identify the beneficiary of a long-term insurance policy?",exact_anchor,dense_only,baseline,72b,1.0,0.6082990917596693,0.5933746099472046,0.0,
What information must a credit institution gather about a third-country respondent institution under MLR 2017 regulation 34 before establishing a correspondent relationship?,exact_anchor,dense_only,baseline,14b,1.0,0.6349301667563351,0.7797993421554565,0.0,
What information must a credit institution gather about a third-country respondent institution under MLR 2017 regulation 34 before establishing a correspondent relationship?,exact_anchor,dense_only,baseline,72b,1.0,0.6349301667563351,0.7828065752983093,0.0,
What three conditions must all be satisfied for a person to commit the failure-to-disclose offence under section 330 of POCA 2002?,exact_anchor,dense_only,baseline,14b,0.0,0.7963958177592169,0.7294406294822693,0.0,
What three conditions must all be satisfied for a person to commit the failure-to-disclose offence under section 330 of POCA 2002?,exact_anchor,dense_only,baseline,72b,0.0,0.7963958177592169,0.7220935821533203,0.0,
"Under section 331 of POCA 2002, who specifically commits an offence by failing to disclose knowledge or suspicion of money laundering, and what are the conditions of that offence?",exact_anchor,dense_only,baseline,14b,0.7777777777777778,0.5940867052197977,0.9095878601074219,0.0,
"Under section 331 of POCA 2002, who specifically commits an offence by failing to disclose knowledge or suspicion of money laundering, and what are the conditions of that offence?",exact_anchor,dense_only,baseline,72b,0.7777777777777778,0.5940867052197977,0.9266691207885742,0.0,
"How does section 335 of POCA 2002 define 'appropriate consent', and when is a person treated as having received it in the absence of an explicit response?",exact_anchor,dense_only,baseline,14b,0.14285714285714285,0.7823714750030208,0.8054014444351196,0.0,
"How does section 335 of POCA 2002 define 'appropriate consent', and when is a person treated as having received it in the absence of an explicit response?",exact_anchor,dense_only,baseline,72b,0.14285714285714285,0.7823714750030208,0.7602807879447937,0.0,
"Under section 336 of POCA 2002, what conditions must be satisfied before a nominated officer may give appropriate consent to a prohibited act?",exact_anchor,dense_only,baseline,14b,0.0,0.6097048872004254,0.744483232498169,0.0,
"Under section 336 of POCA 2002, what conditions must be satisfied before a nominated officer may give appropriate consent to a prohibited act?",exact_anchor,dense_only,baseline,72b,0.0,0.6097048872004254,0.7193037271499634,0.0,
"Regulation 28 of MLR 2017 states it applies when a relevant person is required by another regulation to apply CDD measures — which regulation creates that trigger obligation, and in what circumstances does it require CDD to be applied?",cross_reference,dense_only,baseline,14b,0.0,0.6538138510153025,0.7241617441177368,0.0,
"Regulation 28 of MLR 2017 states it applies when a relevant person is required by another regulation to apply CDD measures — which regulation creates that trigger obligation, and in what circumstances does it require CDD to be applied?",cross_reference,dense_only,baseline,72b,0.0,0.6538138510153025,0.8812370300292969,0.0,
"MLR 2017 regulation 29 specifies it applies 'in addition to' the measures in another regulation for credit and financial institutions — which base regulation, and what additional obligations does regulation 29 impose regarding insurance policy beneficiaries?",cross_reference,dense_only,baseline,14b,1.0,0.711568026148412,0.7977853417396545,0.0,
"MLR 2017 regulation 29 specifies it applies 'in addition to' the measures in another regulation for credit and financial institutions — which base regulation, and what additional obligations does regulation 29 impose regarding insurance policy beneficiaries?",cross_reference,dense_only,baseline,72b,1.0,0.711568026148412,0.9628893733024597,0.0,
What must a credit institution apply under MLR 2017 regulation 34 in addition to the measures required by regulation 33 when establishing a correspondent relationship with a third-country institution?,cross_reference,dense_only,baseline,14b,1.0,0.6037854447964793,0.8826097249984741,0.0,
What must a credit institution apply under MLR 2017 regulation 34 in addition to the measures required by regulation 33 when establishing a correspondent relationship with a third-country institution?,cross_reference,dense_only,baseline,72b,1.0,0.6037854447964793,0.763539731502533,0.0,
"Regulation 30 of MLR 2017 sets the timing rule for completing verification — to which specific regulations does it apply, and what is the default timing requirement it establishes?",cross_reference,dense_only,baseline,14b,1.0,0.6184874946053308,0.815808117389679,0.0,
"Regulation 30 of MLR 2017 sets the timing rule for completing verification — to which specific regulations does it apply, and what is the default timing requirement it establishes?",cross_reference,dense_only,baseline,72b,1.0,0.6184874946053308,0.9425759315490723,0.0,
"A person accused under section 327 of POCA 2002 may rely on an authorised disclosure as a defence — which section of POCA governs such disclosures, and what must the disclosure consist of?",cross_reference,dense_only,baseline,14b,0.0,0.9348345685191372,0.8990134000778198,0.0,
"A person accused under section 327 of POCA 2002 may rely on an authorised disclosure as a defence — which section of POCA governs such disclosures, and what must the disclosure consist of?",cross_reference,dense_only,baseline,72b,0.0,0.9348345685191372,0.8141491413116455,0.0,
"What authorised disclosure under POCA 2002 can prevent the section 328 arrangement offence from being committed, and which section sets out the requirements for that disclosure?",cross_reference,dense_only,baseline,14b,0.5,0.7191497502170785,0.7573035955429077,0.0,
"What authorised disclosure under POCA 2002 can prevent the section 328 arrangement offence from being committed, and which section sets out the requirements for that disclosure?",cross_reference,dense_only,baseline,72b,0.5,0.7191497502170785,0.81441330909729,0.0,
Section 335 of POCA 2002 defines 'appropriate consent' as consent given in response to an authorised disclosure — what does section 338 require for that underlying disclosure to be authorised?,cross_reference,dense_only,baseline,14b,0.0,0.6864858634021344,0.5953243970870972,0.0,
Section 335 of POCA 2002 defines 'appropriate consent' as consent given in response to an authorised disclosure — what does section 338 require for that underlying disclosure to be authorised?,cross_reference,dense_only,baseline,72b,0.0,0.6864858634021344,0.6120389103889465,0.0,
