query,query_type,config,variant,reference_model,faithfulness,answer_relevancy,similarity,llm_grade,reasoning_effort
"Under MLR 2017 regulation 4, at what point is an estate agent considered to have entered into a business relationship with a purchaser?",exact_anchor,hybrid,baseline,14b,0.0,0.7820201714032268,0.7594391703605652,0.0,
"Under MLR 2017 regulation 4, at what point is an estate agent considered to have entered into a business relationship with a purchaser?",exact_anchor,hybrid,baseline,72b,0.0,0.7820201714032268,0.7946906089782715,0.0,
"Under MLR 2017 regulation 27, in what circumstances is a relevant person required to apply customer due diligence measures?",exact_anchor,hybrid,baseline,14b,1.0,0.8422908464904393,0.8253966569900513,0.0,
"Under MLR 2017 regulation 27, in what circumstances is a relevant person required to apply customer due diligence measures?",exact_anchor,hybrid,baseline,72b,1.0,0.8422908464904393,0.8604763746261597,0.0,
"Under MLR 2017 regulation 29, when must a credit institution or financial institution identify the beneficiary of a long-term insurance policy?",exact_anchor,hybrid,baseline,14b,0.0,0.6488439207867239,0.6045021414756775,0.0,
"Under MLR 2017 regulation 29, when must a credit institution or financial institution identify the beneficiary of a long-term insurance policy?",exact_anchor,hybrid,baseline,72b,0.0,0.6488439207867239,0.5933746099472046,0.0,
What information must a credit institution gather about a third-country respondent institution under MLR 2017 regulation 34 before establishing a correspondent relationship?,exact_anchor,hybrid,baseline,14b,1.0,0.6458577752653458,0.7797993421554565,0.0,
What information must a credit institution gather about a third-country respondent institution under MLR 2017 regulation 34 before establishing a correspondent relationship?,exact_anchor,hybrid,baseline,72b,1.0,0.6458577752653458,0.7828065752983093,0.0,
What three conditions must all be satisfied for a person to commit the failure-to-disclose offence under section 330 of POCA 2002?,exact_anchor,hybrid,baseline,14b,0.8333333333333334,0.8679086742072535,0.8183431625366211,0.0,
What three conditions must all be satisfied for a person to commit the failure-to-disclose offence under section 330 of POCA 2002?,exact_anchor,hybrid,baseline,72b,0.8333333333333334,0.8679086742072535,0.8135116696357727,0.0,
"Under section 331 of POCA 2002, who specifically commits an offence by failing to disclose knowledge or suspicion of money laundering, and what are the conditions of that offence?",exact_anchor,hybrid,baseline,14b,0.7777777777777778,0.596762898127231,0.9089284539222717,0.0,
"Under section 331 of POCA 2002, who specifically commits an offence by failing to disclose knowledge or suspicion of money laundering, and what are the conditions of that offence?",exact_anchor,hybrid,baseline,72b,0.7777777777777778,0.596762898127231,0.9271208643913269,0.0,
"How does section 335 of POCA 2002 define 'appropriate consent', and when is a person treated as having received it in the absence of an explicit response?",exact_anchor,hybrid,baseline,14b,0.75,0.8418099897330746,0.5467308163642883,0.0,
"How does section 335 of POCA 2002 define 'appropriate consent', and when is a person treated as having received it in the absence of an explicit response?",exact_anchor,hybrid,baseline,72b,0.75,0.8418099897330746,0.5669906735420227,0.0,
"Under section 336 of POCA 2002, what conditions must be satisfied before a nominated officer may give appropriate consent to a prohibited act?",exact_anchor,hybrid,baseline,14b,1.0,0.9945935633106199,0.8322179317474365,0.0,
"Under section 336 of POCA 2002, what conditions must be satisfied before a nominated officer may give appropriate consent to a prohibited act?",exact_anchor,hybrid,baseline,72b,1.0,0.9945935633106199,0.8184430599212646,0.0,
"Regulation 28 of MLR 2017 states it applies when a relevant person is required by another regulation to apply CDD measures — which regulation creates that trigger obligation, and in what circumstances does it require CDD to be applied?",cross_reference,hybrid,baseline,14b,0.8571428571428571,0.8311260098336511,0.8330399394035339,0.0,
"Regulation 28 of MLR 2017 states it applies when a relevant person is required by another regulation to apply CDD measures — which regulation creates that trigger obligation, and in what circumstances does it require CDD to be applied?",cross_reference,hybrid,baseline,72b,0.8571428571428571,0.8311260098336511,0.8802491426467896,0.0,
"MLR 2017 regulation 29 specifies it applies 'in addition to' the measures in another regulation for credit and financial institutions — which base regulation, and what additional obligations does regulation 29 impose regarding insurance policy beneficiaries?",cross_reference,hybrid,baseline,14b,0.75,0.856696918701242,0.7803909778594971,0.0,
"MLR 2017 regulation 29 specifies it applies 'in addition to' the measures in another regulation for credit and financial institutions — which base regulation, and what additional obligations does regulation 29 impose regarding insurance policy beneficiaries?",cross_reference,hybrid,baseline,72b,0.75,0.856696918701242,0.9779213666915894,0.0,
What must a credit institution apply under MLR 2017 regulation 34 in addition to the measures required by regulation 33 when establishing a correspondent relationship with a third-country institution?,cross_reference,hybrid,baseline,14b,1.0,0.6111319822627975,0.9291812181472778,0.0,
What must a credit institution apply under MLR 2017 regulation 34 in addition to the measures required by regulation 33 when establishing a correspondent relationship with a third-country institution?,cross_reference,hybrid,baseline,72b,1.0,0.6111319822627975,0.8288445472717285,0.0,
"Regulation 30 of MLR 2017 sets the timing rule for completing verification — to which specific regulations does it apply, and what is the default timing requirement it establishes?",cross_reference,hybrid,baseline,14b,0.8333333333333334,0.8345741781052561,0.8241477012634277,0.0,
"Regulation 30 of MLR 2017 sets the timing rule for completing verification — to which specific regulations does it apply, and what is the default timing requirement it establishes?",cross_reference,hybrid,baseline,72b,0.8333333333333334,0.8345741781052561,0.9468258023262024,0.0,
"A person accused under section 327 of POCA 2002 may rely on an authorised disclosure as a defence — which section of POCA governs such disclosures, and what must the disclosure consist of?",cross_reference,hybrid,baseline,14b,0.6666666666666666,0.9356775726185799,0.8637431263923645,0.0,
"A person accused under section 327 of POCA 2002 may rely on an authorised disclosure as a defence — which section of POCA governs such disclosures, and what must the disclosure consist of?",cross_reference,hybrid,baseline,72b,0.6666666666666666,0.9356775726185799,0.7848513126373291,0.0,
"What authorised disclosure under POCA 2002 can prevent the section 328 arrangement offence from being committed, and which section sets out the requirements for that disclosure?",cross_reference,hybrid,baseline,14b,0.0,0.9315830340528771,0.8318716287612915,0.0,
"What authorised disclosure under POCA 2002 can prevent the section 328 arrangement offence from being committed, and which section sets out the requirements for that disclosure?",cross_reference,hybrid,baseline,72b,0.0,0.9315830340528771,0.7825582027435303,0.0,
